STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00451496,CLEARWATER WA US,19010106,28,6,28
GHCND:USC00451496,CLEARWATER WA US,19010107,33,6,17
GHCND:USC00451496,CLEARWATER WA US,19010108,22,-11,6
GHCND:USC00451496,CLEARWATER WA US,19010109,11,-11,11
GHCND:USC00451496,CLEARWATER WA US,19010110,22,0,17
GHCND:USC00451496,CLEARWATER WA US,19010111,67,11,39
GHCND:USC00451496,CLEARWATER WA US,19010112,100,22,94
GHCND:USC00451496,CLEARWATER WA US,19010113,94,67,94
GHCND:USC00451496,CLEARWATER WA US,19010114,94,39,72
GHCND:USC00451496,CLEARWATER WA US,19010115,78,17,67
GHCND:USC00451496,CLEARWATER WA US,19010116,83,22,50
GHCND:USC00451496,CLEARWATER WA US,19010117,67,6,33
GHCND:USC00451496,CLEARWATER WA US,19010118,39,-6,28
GHCND:USC00451496,CLEARWATER WA US,19010119,50,6,50
GHCND:USC00451496,CLEARWATER WA US,19010120,83,28,78
GHCND:USC00451496,CLEARWATER WA US,19010121,83,6,50
GHCND:USC00451496,CLEARWATER WA US,19010122,67,44,61
GHCND:USC00451496,CLEARWATER WA US,19010123,61,6,39
GHCND:USC00451496,CLEARWATER WA US,19010124,56,22,56
GHCND:USC00451496,CLEARWATER WA US,19010125,56,11,44
GHCND:USC00451496,CLEARWATER WA US,19010126,78,39,78
GHCND:USC00451496,CLEARWATER WA US,19010127,78,56,78
GHCND:USC00451496,CLEARWATER WA US,19010128,78,11,56
GHCND:USC00451496,CLEARWATER WA US,19010129,67,28,50
GHCND:USC00451496,CLEARWATER WA US,19010130,61,0,28
GHCND:USC00451496,CLEARWATER WA US,19010131,28,-11,-9999
GHCND:USC00451496,CLEARWATER WA US,19010201,39,-11,28
GHCND:USC00451496,CLEARWATER WA US,19010202,50,-6,22
GHCND:USC00451496,CLEARWATER WA US,19010203,50,-11,11
GHCND:USC00451496,CLEARWATER WA US,19010204,28,-22,0
GHCND:USC00451496,CLEARWATER WA US,19010205,33,-28,28
GHCND:USC00451496,CLEARWATER WA US,19010206,44,-22,6
GHCND:USC00451496,CLEARWATER WA US,19010207,56,-22,0
GHCND:USC00451496,CLEARWATER WA US,19010208,44,-28,6
GHCND:USC00451496,CLEARWATER WA US,19010209,17,-28,11
GHCND:USC00451496,CLEARWATER WA US,19010210,44,0,6
